stop_pattern_id,stop_id,stop_sequence,time_from_start
849_1,9134,0,0
849_1,9133,1,39
849_1,9138,2,101
849_1,9137,3,161
849_1,9875,4,280
849_1,9876,5,310
849_1,9877,6,376
849_1,9139,7,392
849_1,9141,8,480
849_1,9121,9,900
849_1,8103,10,1080
849_1,9135,11,1260
849_1,9136,12,1320
849_1,8152,13,1500
849_1,8161,14,1680
849_1,9197,15,1800
849_1,8159,16,1920
849_0,8159,0,0
849_0,8158,1,55
849_0,8156,2,180
849_0,9164,3,311
849_0,9165,4,362
849_0,8136,5,480
849_0,8135,6,540
849_0,9101,7,679
849_0,9102,8,744
849_0,8122,9,852
849_0,8120,10,900
849_0,8118,11,995
849_0,9134,12,1246
849_0,9133,13,1311
849_0,9138,14,1415
849_0,9137,15,1514
849_0,9875,16,1711
849_0,9876,17,1761
849_0,9877,18,1871
849_0,9139,19,1898
849_0,9141,20,2040
33_1,4369,0,0
33_1,4368,1,54
33_1,4367,2,124
33_1,4366,3,163
33_1,4365,4,270
33_1,4364,5,326
33_1,4363,6,386
33_1,4362,7,423
33_1,4361,8,459
33_1,4360,9,513
33_1,4329,10,571
33_1,4328,11,656
33_1,4327,12,720
33_1,4326,13,741
33_1,4325,14,754
33_1,4324,15,812
33_1,4323,16,864
33_1,4322,17,904
33_1,4321,18,941
33_1,4320,19,988
33_1,4319,20,1020
33_1,4317,21,1102
33_1,4316,22,1158
33_1,4315,23,1249
33_1,4314,24,1280
33_1,4313,25,1363
33_1,4312,26,1407
33_1,4311,27,1553
33_1,5519,28,1682
33_1,5520,29,1740
887_1,8858,0,0
887_1,8857,1,47
887_1,8856,2,76
887_1,8855,3,103
887_1,8854,4,141
887_1,8853,5,161
887_1,8852,6,186
887_1,8851,7,210
887_1,8850,8,252
887_1,8849,9,272
887_1,8848,10,308
887_1,8847,11,333
887_1,8846,12,406
887_1,8845,13,436
887_1,8844,14,473
887_1,8843,15,503
887_1,8842,16,584
887_1,8841,17,628
887_1,8840,18,678
887_1,8839,19,767
887_1,8838,20,863
887_1,8737,21,919
887_1,8735,22,972
887_1,8734,23,1008
887_1,8733,24,1031
887_1,8732,25,1055
887_1,8731,26,1086
887_1,8730,27,1135
887_1,9153,28,1176
887_1,9155,29,1229
887_1,9156,30,1250
887_1,9157,31,1324
887_1,9158,32,1375
887_1,9199,33,1404
33_0,5520,0,0
33_0,5012,1,17
33_0,5015,2,86
33_0,5312,3,257
33_0,5313,4,294
33_0,5315,5,398
33_0,5316,6,462
33_0,5317,7,518
33_0,5318,8,548
33_0,5319,9,600
33_0,5320,10,645
33_0,5321,11,700
33_0,5322,12,741
33_0,5323,13,805
33_0,5324,14,868
33_0,5325,15,954
33_0,5326,16,978
33_0,5327,17,1020
33_0,5328,18,1079
33_0,5329,19,1162
33_0,5360,20,1260
33_0,5361,21,1352
33_0,5362,22,1391
33_0,5363,23,1453
33_0,5364,24,1518
33_0,5365,25,1605
33_0,5366,26,1753
33_0,5367,27,1812
33_0,5368,28,1906
33_0,5369,29,1980
261_1,1148,0,0
261_1,1248,1,33
261_1,1150,2,68
261_1,1250,3,97
261_1,1252,4,131
261_1,1254,5,171
261_1,1256,6,198
261_1,1258,7,220
261_1,1260,8,245
261_1,1262,9,269
261_1,1264,10,309
261_1,1266,11,339
261_1,1269,12,395
261_1,1271,13,428
261_1,1273,14,458
261_1,1275,15,493
261_1,1286,16,540
261_1,1288,17,603
261_1,1290,18,652
261_1,1292,19,678
261_1,1294,20,723
261_1,1194,21,815
261_1,1001,22,900
887_0,8152,0,0
887_0,8163,1,158
887_0,8161,2,303
887_0,8159,3,540
887_0,8158,4,579
887_0,8157,5,681
887_0,8155,6,804
887_0,8154,7,850
887_0,8153,8,901
887_0,9730,9,965
887_0,9731,10,1039
887_0,9732,11,1065
887_0,9733,12,1106
887_0,9735,13,1178
887_0,9736,14,1224
887_0,9837,15,1261
887_0,9838,16,1388
887_0,9839,17,1530
887_0,9840,18,1677
887_0,9841,19,1763
887_0,9842,20,1813
887_0,9843,21,1935
887_0,9844,22,1986
887_0,9845,23,2051
887_0,9846,24,2089
887_0,9847,25,2203
887_0,9848,26,2238
887_0,9849,27,2284
887_0,8862,28,2315
887_0,9851,29,2375
887_0,9852,30,2409
887_0,9853,31,2445
887_0,9854,32,2472
887_0,9855,33,2529
887_0,9856,34,2568
887_0,9857,35,2602
887_0,9858,36,2700
261_0,1001,0,0
261_0,1002,1,63
261_0,1100,2,117
261_0,1102,3,170
261_0,1200,4,235
261_0,1204,5,318
261_0,1206,6,364
261_0,1208,7,420
261_0,1211,8,465
261_0,1213,9,502
261_0,1215,10,532
261_0,1217,11,568
261_0,1228,12,629
261_0,1230,13,661
